Activity_Period,Activity_Period_Start_Date,Operating_Airline,Operating_Airline_IATA_Code,Published_Airline,Published_Airline_IATA_Code,GEO_Summary,GEO_Region,Landing_Aircraft_Type,Aircraft_Body_Type,Aircraft_Manufacturer,Aircraft_Model,Aircraft_Version,Landing_Count,Total_Landed_Weight,data_as_of,data_loaded_at,Activity Period Date,DI_Created_By,DI_Created_Dt
199907,1999/07/01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,727,200,4,"618,000",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,,78,"15,444,000",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Wide Body,Lockheed,L1011,0,71,"25,418,000",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Wide Body,Lockheed,L1011,100,1,"368,000",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Passenger,Wide Body,Boeing,767,0,9,"2,879,955",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Passenger,Wide Body,Ilyushin,IL-96,,4,"1,543,220",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,209,4,"1,088,000",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,233,26,"7,140,000",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,333,1,"320,000",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,12,"1,610,400",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,151,"21,442,000",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
199907,1999/07/01,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,19,"11,969,867",2025-08-21 16:21:32,2025-08-22 23:03:26,1999-07-01,RIYA,2025-09-19 22:32:42
